index,node,level,parents,params,res_gdw_id,res_inflow_flag,res_outflow_flag,res_within_flag
345,420548718,0,,413000.0;934.0;0.49;1.19
346,420548717,0,,204000.0;443.0;0.49;1.42
347,420547651,0,,459000.0;1093.0;0.48;1.18
348,420547443,0,,158000.0;513.0;0.48;1.44
349,420545996,0,,354000.0;863.0;0.48;1.21
350,420546631,0,,105000.0;326.0;0.48;1.62
351,420546632,0,,79000.0;304.0;0.48;1.65
352,420544968,0,,164000.0;142.0;0.46;1.44
353,420543777,0,,328000.0;861.0;0.47;1.19
354,420544742,0,,92000.0;302.0;0.45;1.64
355,420543351,0,,348000.0;1164.0;0.45;1.18
356,420544171,0,,118000.0;350.0;0.45;1.52
357,420543776,0,,138000.0;304.0;0.45;1.51
358,420548711,0,,236000.0;513.0;0.44;1.45
359,420548483,0,,40000.0;188.0;0.44;1.74
360,420548484,0,,125000.0;234.0;0.44;1.54
361,420548061,0,,118000.0;326.0;0.44;1.54
362,420548060,0,,164000.0;304.0;0.44;1.46
363,420546624,0,,204000.0;446.0;0.44;1.41
364,420546420,0,,112000.0;304.0;0.44;1.6
365,420545823,0,,92000.0;234.0;0.45;1.64
366,420543774,0,,459000.0;604.0;0.45;1.17
367,420545825,0,,20000.0;117.0;0.45;1.67
368,420544168,0,,138000.0;142.0;0.45;1.5
369,420543773,0,,184000.0;511.0;0.45;1.4
370,420543348,0,,321000.0;609.0;0.45;1.2
371,420543152,0,,138000.0;302.0;0.45;1.49
372,420542741,0,,210000.0;371.0;0.45;1.4
373,420547235,0,,125000.0;350.0;0.45;1.53
374,420547033,0,,105000.0;234.0;0.46;1.63
375,420547236,0,,66000.0;326.0;0.45;1.7
376,420546827,0,,112000.0;606.0;0.45;1.63
377,420545828,0,,204000.0;304.0;0.45;1.42
378,420545991,0,,184000.0;304.0;0.45;1.42
379,420545381,0,,295000.0;604.0;0.45;1.24
380,420546626,0,,79000.0;284.0;0.45;1.66
381,420545606,0,,171000.0;234.0;0.45;1.43
382,420544538,0,,269000.0;696.0;0.44;1.41
383,420544367,0,,328000.0;795.0;0.45;1.23
384,420543977,0,,315000.0;672.0;0.44;1.23
385,420545161,0,,86000.0;304.0;0.44;1.67
386,420544539,0,,164000.0;471.0;0.44;1.44
387,420543350,0,,269000.0;397.0;0.44;1.42
388,420546423,0,,138000.0;350.0;0.46;1.51
389,420546422,0,,190000.0;446.0;0.45;1.42
390,420545993,0,,341000.0;655.0;0.46;1.21
391,420545992,0,,125000.0;326.0;0.45;1.53
392,420545829,0,,204000.0;302.0;0.46;1.41
393,420545162,0,,99000.0;142.0;0.45;1.65
394,420544369,0,,86000.0;326.0;0.45;1.66
395,420543154,0,,335000.0;720.0;0.45;1.22
396,420542550,0,,551000.0;1255.0;0.45;1.17
397,420542939,0,,400000.0;881.0;0.45;1.21
398,420544368,0,,33000.0;117.0;0.45;1.7
399,420542549,0,,262000.0;443.0;0.45;1.42
400,420542346,0,,262000.0;443.0;0.45;1.42
401,420542940,0,,223000.0;487.0;0.45;1.4
402,420543561,0,,59000.0;117.0;0.45;1.68
403,420558773,1,0;1,27000.0;188.0;0.44;1.45
404,420553417,1,2;3,27000.0;234.0;0.45;1.14
405,420550514,1,6;7,158000.0;375.0;0.44;1.16
406,420554043,1,18;19,236000.0;654.0;0.45;1.16
407,420553619,1,25;26,171000.0;446.0;0.44;1.17
408,420551945,1,28;29,223000.0;679.0;0.45;1.14
